city,lat,lng,admin_name
Yên Lập,21.347,105.0574,Phú Thọ
Quảng Hà,21.4506,107.7559,Quảng Ninh
Cổ Phúc,21.7558,104.8277,Yên Bái
Cành Nàng,20.348,105.2288,Thanh Hóa
Thạnh Hóa,10.6574,106.1808,Long An
Đăk Đoa,13.995,108.1121,Gia Lai
Kiến Đức,11.9922,107.5109,Đắk Nông
Tân Biên,11.5444,106.0116,Tây Ninh
Phong Thổ,22.5443,103.2978,Lai Châu
Hoài Ân,14.3635,108.9648,Bình Định
Đức Phong,11.8135,107.2443,Bình Phước
Thị Trấn Yên Minh,23.1179,105.1416,Hà Giang
Lũng Hồ,22.9848,105.2398,Hà Giang
Hát Lót,21.1973,104.106,Sơn La
Thị Trấn Vĩnh Tuy,22.2744,104.8909,Hà Giang
Thị Trấn Việt Quang,22.4151,104.8068,Hà Giang
Thị Trấn Thuận Châu,21.4385,103.69,Sơn La
Đồng Mỏ,21.657,106.5783,Lạng Sơn
Di Linh,11.5815,108.0764,Lâm Đồng
Kiến Giang,17.2233,106.7901,Quảng Bình
Thị Trấn Quảng Uyên,22.695,106.4424,Cao Bằng
Thị Trấn Trùng Khánh,22.8351,106.525,Cao Bằng
Mường Ảng,21.5199,103.2229,Điện Biên
Phố Châu,18.5133,105.4241,Hà Tĩnh
Thị Trấn Vinh Quang,22.7408,104.6796,Hà Giang
Tân Phú,11.4512,106.8681,Bình Phước
Cô Tô,20.9727,107.7658,Quảng Ninh
Than Uyên,21.9591,103.88,Lai Châu
Chư Ty,13.8051,107.6961,Gia Lai
Tân Hưng,10.8348,105.6614,Long An
Văn Quan,21.8652,106.5393,Lạng Sơn
Phù Yên,21.2633,104.6444,Sơn La
Ea Drăng,13.2045,108.2103,Đắk Lắk
Mai Châu,20.6615,105.0824,Hòa Bình
Thuận Nam,10.85,107.8786,Bình Thuận
Thị Trấn Nước Hai,22.7374,106.1522,Cao Bằng
Tân Sơn,11.7752,108.7848,Ninh Thuận
Đắk Mâm,12.4579,107.8625,Đắk Nông
Thị Trấn Vĩnh Lộc,22.1436,105.2719,Tuyên Quang
Huyện Chiêm Hóa,22.1441,105.2728,Tuyên Quang
Phong Điền,16.5832,107.3644,Thừa Thiên-Huế
Bắc Sơn,21.9,106.3208,Lạng Sơn
Thị Trấn Phố Ràng,22.2343,104.4764,Lào Cai
Thị Trấn Mường Khương,22.7614,104.1216,Lào Cai
Sơn Hà,15.0419,108.4697,Quảng Ngãi
Đạ Tẻh,11.5115,107.4909,Lâm Đồng
Thị Trấn Tà Lùng,22.4979,106.5669,Cao Bằng
Tánh Linh,11.0842,107.6809,Bình Thuận
Thị Trấn Na Sầm,22.0564,106.6151,Lạng Sơn
Yên Châu,21.0458,104.301,Sơn La
Yên Cát,19.6633,105.4285,Thanh Hóa
Thị Trấn Tam Sơn,23.0674,104.9893,Hà Giang
Hoàn Lão,17.5844,106.5342,Quảng Bình
Đắk Song,12.2552,107.6092,Đắk Nông
Đắk Hà,14.5135,107.921,Kon Tum
Đắk Tô,14.6609,107.8389,Kon Tum
Tam Đường,22.3181,103.6262,Lai Châu
Sông Mã,21.0509,103.7499,Sơn La
Mộc Châu,20.852,104.6218,Sơn La
Thị Trấn Hùng Quốc,22.829,106.3234,Cao Bằng
Phú Hòa,14.1,107.969,Gia Lai
Lộc Thắng,11.6284,107.8351,Lâm Đồng
An Châu,21.3346,106.8493,Bắc Giang
Thị Trấn Tủa Chùa,21.8577,103.3426,Điện Biên
Sa Pa,22.3356,103.8419,Lào Cai
Lộc Bình,21.7587,106.9233,Lạng Sơn
Yên Bình,22.4099,104.5795,Hà Giang
Bắc Hà,22.5391,104.2931,Lào Cai
Quán Hàu,17.4044,106.6407,Quảng Bình
Hiệp Đức,15.5822,108.1142,Quảng Nam
Krông Kmar,12.5045,108.3329,Đắk Lắk
Hương Khê,18.1767,105.7002,Hà Tĩnh
Lang Chánh,20.1561,105.2422,Thanh Hóa
Thị Trấn Tuần Giáo,21.5899,103.4218,Điện Biên
Ma Đa Gui,11.387,107.5351,Lâm Đồng
Thường Xuân,19.9029,105.3472,Thanh Hóa
Thị Trấn Xuân Hoà,22.9024,106.0774,Cao Bằng
Thị Trấn Việt Lâm,22.6249,104.9599,Hà Giang
Thị Trấn Vị Xuyên,22.6676,104.9819,Hà Giang
Ít Ong,21.5175,104.027,Sơn La
Minh Long,14.9322,108.7033,Quảng Ngãi
